"id";"bsn";"chassisNummer";"kenteken";"kleur";"merkNaam";"motorInhoud";"typeAanduiding";"typeMotor"
52;471571874;"F43929";"CR992-V";"zwart metallic";"Ford";1.62;"Station";"G"
53;927751544;"Q76124";"GT517-G";"grijs";"Mercedes";7.103;"Cabrio";"G"
54;167687623;"Y72075";"ZT997-D";"wit";"BMW";6.163;"Cabrio";"D"
55;515767460;"T73360";"88-EBS-4";"wit";"VW";4.873;"Sedan";"G"
56;299324139;"J61918";"95-OU-GR";"zwart";"BMW";3.427;"Station";"D"
57;666062898;"I44372";"13-OT-WI";"rood";"VW";4.306;"Sport";"G"
58;790125086;"Z54597";"38-XIJ-3";"zwart metallic";"FIAT";5.097;"Cabrio";"H"
59;551919655;"X12943";"XN533-Z";"zilver";"Renault";4.141;"Sedan";"H"
60;485285912;"G87918";"71-LW-OY";"rood";"Ford";5.555;"Sport";"E"
61;687588375;"J10209";"72-UC-DZ";"blauw metallic";"FIAT";6.8;"Sport";"G"
62;177324777;"P40165";"TT236-Z";"grijs";"Renault";3.806;"Cabrio";"D"
63;385548529;"D16710";"BC642-K";"zwart metallic";"Citroën";3.193;"Cabrio";"H"
64;692738314;"Q59295";"51-EAF-6";"rood metallic";"Citroën";2.056;"Sedan";"G"
65;301089624;"D11543";"WD476-E";"blauw";"Renault";1.326;"Cabrio";"E"
66;516962813;"M13022";"UN465-E";"groen metallic";"Mazda";6.17;"Sedan";"D"
67;430086222;"Q84957";"84-HI-GO";"zwart metallic";"Chevrolet";5.341;"Sedan";"G"
68;346737697;"S24128";"53-VEK-3";"groen metallic";"Renault";2.187;"Sport";"B"
69;686166820;"I81885";"59-ASB-10";"wit";"Renault";5.985;"Cabrio";"B"
70;353355607;"M9359";"UT650-S";"antraciet";"Ford";1.539;"Station";"B"
71;639249356;"G66005";"BV410-B";"grijs metallic";"FIAT";6.495;"Sedan";"E"
72;707633882;"Q58832";"28-CTS-10";"rood";"Citroën";1.236;"Sport";"H"
73;502355230;"I49376";"53-LST-8";"blauw";"Toyota";3.414;"Station";"H"
74;686248712;"D61314";"OI499-F";"zwart";"Ford";3.012;"Sedan";"G"
75;214786512;"I44200";"79-EI-QP";"grijs";"Ford";6.06;"Sedan";"E"
76;468289238;"T3908";"42-WWX-7";"grijs";"Ford";3.178;"Station";"H"
77;863429291;"K11583";"CM839-E";"blauw metallic";"Toyota";2.703;"Station";"E"
78;825302281;"B23111";"22-JB-BC";"blauw";"BMW";3.185;"Sport";"B"
79;763563548;"V77226";"MZ184-D";"rood";"Opel";5.09;"Sport";"E"
80;271670417;"J32313";"38-XE-RB";"grijs metallic";"Toyota";6.643;"Cabrio";"G"
81;473718275;"B44110";"JY601-B";"blauw metallic";"VW";1.319;"Sport";"G"
82;407800666;"D28583";"24-DZQ-8";"zwart";"Renault";3.014;"Sport";"H"
83;244824104;"O9456";"88-MI-VQ";"zwart";"FIAT";5.041;"Station";"E"
84;601320978;"E72356";"YP678-Y";"groen metallic";"Range Rover";5.314;"Sedan";"D"
85;304836949;"K79253";"BB825-M";"rood metallic";"Mercedes";2.304;"Station";"H"
86;659695736;"Q65986";"62-CJ-IK";"zwart metallic";"Range Rover";5.812;"Sport";"D"
87;305474755;"F1794";"ZC395-H";"zilver";"Toyota";5.243;"Cabrio";"D"
88;789774535;"E39342";"35-EBN-8";"rood";"BMW";5.395;"Station";"E"
89;626512685;"Q31675";"FM607-M";"grijs metallic";"Toyota";2.543;"Sedan";"B"
90;899549613;"A82784";"QZ908-P";"wit";"Mercedes";4.112;"Cabrio";"B"
91;127908890;"L99682";"WX818-A";"grijs";"Opel";2.067;"Station";"E"
92;531397915;"Q10524";"26-MH-OB";"rood";"Toyota";3.743;"Sedan";"G"
93;716102004;"Q97220";"36-ON-CK";"groen";"Chevrolet";5.328;"Cabrio";"H"
94;367882253;"B7168";"20-XB-WE";"groen";"Alfa Romeo";4.133;"Sedan";"D"
95;602564356;"L79004";"BA109-V";"grijs";"FIAT";4.25;"Station";"H"
96;851196509;"A55270";"36-VI-LA";"zilver";"Ford";5.962;"Sedan";"B"
97;417282340;"S85302";"95-PSU-9";"grijs";"Ford";4.177;"Station";"G"
98;909555225;"A22989";"69-HO-LP";"grijs";"Mercedes";4.976;"Station";"E"
99;873263040;"P69733";"LA709-E";"rood";"Citroën";7.108;"Sedan";"H"
100;396219396;"Y80080";"80-ORO-9";"antraciet";"BMW";3.795;"Sedan";"D"
